number,value,datetime_start,datetime_complete,duration,params_batch_size,params_loss,params_lr,params_n_feats,params_num_blocks_dat,params_num_blocks_elan,params_num_heads_dat,params_num_heads_elan,params_optimizer,params_patch_size,params_scheduler,params_weight_decay,params_ws_dat,params_ws_elan,state
0,23.602682876586915,2026-09-12 02:17:00.936067,2026-09-12 03:46:00.201590,0 days 01:28:59.265523,8,Huber,0.00043709904681305016,64,3,2,2,4,ADAM,224,cosine,0.0002661901888489054,12,16,COMPLETE
1,27.766032791137697,2026-09-12 03:46:00.358379,2026-09-12 04:34:04.115485,0 days 00:48:03.757106,4,Huber,0.00020512599422151375,56,3,3,4,8,AdamW,224,step,3.9459088110999995e-06,12,6,COMPLETE
2,27.071866989135742,2026-09-12 04:34:04.247009,2026-09-12 05:12:08.833588,0 days 00:38:04.586579,8,Charbonnier,4.979987773685082e-05,32,3,1,2,2,ADAM,160,step,0.0001847793417351927,16,12,COMPLETE
3,27.969601821899413,2026-09-12 05:12:08.974215,2026-09-12 05:49:51.168552,0 days 00:37:42.194337,4,L2,6.995363653959081e-05,48,1,4,4,2,AdamW,128,step,7.991621920384356e-06,4,4,COMPLETE
4,29.509053421020507,2026-09-12 05:49:51.353845,2026-09-12 06:26:06.770846,0 days 00:36:15.417001,4,Charbonnier,0.00039036974683835586,56,2,3,4,2,AdamW,128,cosine,2.585608890731339e-06,8,4,COMPLETE
5,29.35377426147461,2026-09-12 06:26:06.963260,2026-09-12 08:31:29.584139,0 days 02:05:22.620879,4,L2,0.0001621702307943825,64,1,4,4,8,AdamW,192,fixed,5.149288946949016e-06,8,16,COMPLETE
6,27.911653518676758,2026-09-12 08:31:29.699894,2026-09-12 09:02:44.312036,0 days 00:31:14.612142,4,L2,3.164170195484427e-05,64,1,1,8,2,ADAM,224,step,1.4298589094443983e-05,4,6,COMPLETE
7,27.298924255371094,2026-09-12 09:02:44.434945,2026-09-12 09:11:58.512092,0 days 00:09:14.077147,8,Charbonnier,6.18069149877641e-05,120,4,4,8,8,AdamW,128,cosine,4.245549454254901e-05,4,4,PRUNED
8,27.42635154724121,2026-09-12 09:11:58.614860,2026-09-12 09:22:02.116910,0 days 00:10:03.502050,8,Huber,0.00013232915521487935,56,1,3,2,2,ADAM,160,fixed,6.915151366011635e-06,4,16,PRUNED
9,27.143975830078126,2026-09-12 09:22:02.214922,2026-09-12 09:28:44.399206,0 days 00:06:42.184284,4,L2,0.00039575187154045435,128,1,1,2,8,ADAM,160,fixed,5.32626209759981e-05,12,4,PRUNED
10,26.035306549072267,2026-09-12 09:28:44.523310,2026-09-12 09:34:34.687995,0 days 00:05:50.164685,4,L1,1.85492602696671e-05,104,2,2,4,4,AdamW,128,cosine,1.441553952958938e-06,8,8,PRUNED
11,27.428461837768555,2026-09-12 09:34:34.807846,2026-09-12 09:50:35.428132,0 days 00:16:00.620286,4,Charbonnier,0.00016894676603828685,88,2,4,4,8,AdamW,192,fixed,1.1784246476116056e-06,8,16,PRUNED
12,27.14116516113281,2026-09-12 09:50:35.529886,2026-09-12 09:57:01.874198,0 days 00:06:26.344312,4,L1,0.0002629516683214645,80,2,3,4,2,AdamW,192,fixed,2.7511228513744485e-06,8,12,PRUNED
13,26.160990905761718,2026-09-12 09:57:01.994210,2026-09-12 10:04:23.968272,0 days 00:07:21.974062,4,Charbonnier,0.00011160944965528772,32,2,4,4,8,AdamW,192,cosine,1.7825601965382193e-05,6,8,PRUNED
14,29.671922302246095,2026-09-12 10:04:24.093750,2026-09-12 11:03:46.455418,0 days 00:59:22.361668,4,L2,0.0004942238943481189,80,1,3,4,4,AdamW,128,fixed,3.1057508155119937e-06,8,16,COMPLETE
15,29.946361923217772,2026-09-12 11:03:46.587050,2026-09-12 11:46:20.436841,0 days 00:42:33.849791,4,L2,0.00048405080784307393,88,2,2,4,4,AdamW,128,cosine,2.322678079509203e-06,8,4,COMPLETE
16,29.810649871826172,2026-09-12 11:46:20.598444,2026-09-12 12:36:09.454199,0 days 00:49:48.855755,4,L2,0.00029610442082072305,88,4,2,8,4,AdamW,128,fixed,0.0008788995867573632,16,4,COMPLETE
17,29.849323654174803,2026-09-12 12:36:09.584159,2026-09-12 13:26:23.534192,0 days 00:50:13.950033,4,L2,0.0002589637657955113,96,4,2,8,4,AdamW,128,cosine,0.0009297876355960234,16,4,COMPLETE
18,27.10234260559082,2026-09-12 13:26:23.667021,2026-09-12 13:33:47.355262,0 days 00:07:23.688241,8,L2,1.0579248993606635e-05,104,4,2,8,4,AdamW,128,cosine,0.0001317113314361533,16,4,PRUNED
19,27.338413619995116,2026-09-12 13:33:47.486856,2026-09-12 13:38:10.544350,0 days 00:04:23.057494,4,L2,0.00010113386086552337,104,3,2,8,4,AdamW,128,cosine,0.0005961827462333586,6,4,PRUNED
